timestamp,temperature,humidity(%),latency(ms),throughput(bytes/sec),packet_loss(%),rssi(dBm)
2025-07-10 | 00:00:00,28.3,81.47,0.28,0.05,0.0,-58.25
2025-07-10 | 00:01:00,28.35,80.3,0.31,0.05,0.0,-56.52
2025-07-10 | 00:02:00,28.39,80.08,0.26,0.05,0.0,-58.46
2025-07-10 | 00:03:00,28.42,80.22,0.31,0.05,0.0,-55.63
2025-07-10 | 00:04:00,28.46,80.23,0.27,0.05,0.0,-56.03
2025-07-10 | 00:05:00,28.49,80.12,0.29,0.05,0.0,-58.08
2025-07-10 | 00:06:00,28.52,80.0,0.26,0.05,0.0,-55.87
2025-07-10 | 00:07:00,28.55,79.97,0.33,0.05,0.0,-57.25
2025-07-10 | 00:08:00,28.57,79.98,0.26,0.05,0.0,-57.87
2025-07-10 | 00:09:00,28.59,80.0,0.26,0.05,0.0,-55.14
2025-07-10 | 00:10:00,28.61,79.96,0.28,0.05,0.0,-56.32
2025-07-10 | 00:11:00,28.62,79.89,0.29,0.05,0.0,-58.63
2025-07-10 | 00:12:00,28.64,79.82,0.27,0.05,0.0,-59.5
2025-07-10 | 00:13:00,28.65,79.76,0.25,0.05,0.0,-59.34
2025-07-10 | 00:14:00,28.66,79.71,0.27,0.05,0.0,-58.05
2025-07-10 | 00:15:00,28.67,79.68,0.29,0.05,0.0,-57.78
2025-07-10 | 00:16:00,28.67,79.67,0.24,0.05,0.0,-55.01
2025-07-10 | 00:17:00,28.68,79.66,0.29,0.05,0.0,-57.35
2025-07-10 | 00:18:00,28.68,79.66,0.24,0.05,0.0,-56.95
2025-07-10 | 00:19:00,28.68,79.67,0.26,0.05,0.0,-56.46
2025-07-10 | 00:20:00,28.68,79.69,0.3,0.05,0.0,-60.06
2025-07-10 | 00:21:00,28.68,79.7,0.25,0.05,0.0,-58.02
2025-07-10 | 00:22:00,28.68,79.72,0.3,0.05,0.0,-58.17
2025-07-10 | 00:23:00,28.68,79.74,0.28,0.05,0.0,-55.15
2025-07-10 | 00:24:00,28.67,79.75,0.29,0.05,0.0,-55.56
2025-07-10 | 00:25:00,28.67,79.76,0.3,0.05,0.0,-59.34
2025-07-10 | 00:26:00,28.67,79.76,0.29,0.05,0.0,-58.48
2025-07-10 | 00:27:00,28.66,79.76,0.23,0.05,0.0,-54.88
2025-07-10 | 00:28:00,28.65,79.76,0.31,0.05,0.0,-58.24
2025-07-10 | 00:29:00,28.65,79.75,0.3,0.05,0.0,-59.41
2025-07-10 | 00:30:00,28.64,79.74,0.28,0.05,0.0,-57.83
2025-07-10 | 00:31:00,28.64,79.72,0.31,0.05,0.0,-57.5
